embed_dim,beta,row_penalty,col_penalty,rows_close_to_1,cols_close_to_1,row_max_abs_diff,row_mean_abs_diff,col_max_abs_diff,col_mean_abs_diff,num_correct_matches,accuracy,final_loss
50,10,10,50,True,False,5.364418e-07,9.736217e-08,0.13160795,0.014394846,800,0.796812749003984,-13254.3447265625
50,10,10,200,True,False,4.7683716e-07,9.3622035e-08,0.05398357,0.00893423,808,0.8047808764940239,-13222.21484375
50,10,10,400,True,False,5.9604645e-07,9.534369e-08,0.033976257,0.006701551,817,0.8137450199203188,-13199.3017578125
50,10,100,50,True,False,4.7683716e-07,9.8133945e-08,0.1356383,0.015438272,791,0.7878486055776892,-13247.8427734375
50,10,100,200,True,False,5.9604645e-07,9.7777736e-08,0.05487305,0.008983093,806,0.8027888446215139,-13225.1923828125
50,10,100,400,True,False,7.1525574e-07,9.2612794e-08,0.03375131,0.006620589,787,0.7838645418326693,-13182.2431640625
50,20,10,50,True,False,4.7683716e-07,1.2075283e-07,0.37524176,0.012670882,637,0.6344621513944223,-14906.8876953125
50,20,10,200,True,False,5.9604645e-07,1.1190713e-07,0.08919853,0.006999259,528,0.5258964143426295,-14300.375
50,20,10,400,True,False,4.7683716e-07,1.12560166e-07,0.07185686,0.0043695485,473,0.4711155378486056,-13797.6552734375
50,20,100,50,True,False,5.9604645e-07,1.15231686e-07,0.2047664,0.012218874,552,0.549800796812749,-14514.9814453125
50,20,100,200,True,False,5.9604645e-07,1.1719081e-07,0.05721301,0.0040761214,466,0.4641434262948207,-14064.6591796875
50,20,100,400,True,False,4.7683716e-07,1.1404435e-07,0.03589821,0.0028014781,449,0.44721115537848605,-13961.1552734375
50,40,10,50,True,False,2.3841858e-07,3.2058274e-08,0.4955268,0.037919413,48,0.04780876494023904,-6363.6728515625
50,40,10,200,True,False,2.3841858e-07,3.977601e-08,0.12581515,0.0088937115,28,0.027888446215139442,-4644.57958984375
50,40,10,400,True,False,2.3841858e-07,3.2889414e-08,0.086740255,0.0024839567,32,0.03187250996015936,-3381.30078125
50,40,100,50,True,False,2.9802322e-07,3.5620307e-08,0.39580607,0.03951806,43,0.04282868525896414,-6198.896484375
50,40,100,200,True,False,3.5762787e-07,3.5382836e-08,0.11130524,0.008312966,37,0.036852589641434265,-4059.180419921875
50,40,100,400,True,False,2.3841858e-07,3.532347e-08,0.06466031,0.0032917527,24,0.02390438247011952,-3989.129638671875
150,10,10,50,True,False,5.364418e-07,1.0882003e-07,0.14630288,0.014369393,807,0.8037848605577689,-13934.4384765625
150,10,10,200,True,False,7.1525574e-07,1.0882003e-07,0.060694516,0.0086209215,820,0.8167330677290837,-13935.9140625
150,10,10,400,True,False,4.7683716e-07,1.087013e-07,0.038327098,0.006444815,819,0.8157370517928287,-13917.5859375
150,10,100,50,True,False,5.9604645e-07,1.09888646e-07,0.13063657,0.012621511,821,0.8177290836653387,-13957.8447265625
